Repo Name,Link,Last Update Date
github-repo-scraper,https://github.com/M7mdAhmd/github-repo-scraper,9-Aug-25
M7mdAhmd,https://github.com/M7mdAhmd/M7mdAhmd,9-Aug-25
dell-laptop-scraper,https://github.com/M7mdAhmd/dell-laptop-scraper,8-Aug-25
ShorakyZone,https://github.com/M7mdAhmd/ShorakyZone,8-Aug-25
smart-attendance-system,https://github.com/M7mdAhmd/smart-attendance-system,30-Jul-25
deepface-multiface-recognition,https://github.com/M7mdAhmd/deepface-multiface-recognition,29-Jul-25
car-detection-speed-estimation-yolov8,https://github.com/M7mdAhmd/car-detection-speed-estimation-yolov8,27-Jul-25
vision-based-virtual-keyboard,https://github.com/M7mdAhmd/vision-based-virtual-keyboard,19-Jul-25
Smart-Health-Monitor,https://github.com/M7mdAhmd/Smart-Health-Monitor,16-May-25
Product-Reviews-Sentiment-Analyzer,https://github.com/M7mdAhmd/Product-Reviews-Sentiment-Analyzer,8-May-25
ManoBasicComputer,https://github.com/M7mdAhmd/ManoBasicComputer,2-May-25
Cardiac-Health-Monitor-UI,https://github.com/M7mdAhmd/Cardiac-Health-Monitor-UI,19-Apr-25
Trivio,https://github.com/M7mdAhmd/Trivio,4-Apr-25
Cardiac-Health-Monitor-API,https://github.com/M7mdAhmd/Cardiac-Health-Monitor-API,29-Mar-25
link-extractor-ui,https://github.com/M7mdAhmd/link-extractor-ui,2-Mar-25
link-extractor-api,https://github.com/M7mdAhmd/link-extractor-api,1-Mar-25
gpa-calculator,https://github.com/M7mdAhmd/gpa-calculator,13-Feb-25
shorakyportfolio,https://github.com/M7mdAhmd/shorakyportfolio,30-Jan-25
CSS-Animation-Experiments,https://github.com/M7mdAhmd/CSS-Animation-Experiments,30-Jan-25
Yallakora-web-Scraper,https://github.com/M7mdAhmd/Yallakora-web-Scraper,30-Jan-25
Life-Expectancy-Prediction,https://github.com/M7mdAhmd/Life-Expectancy-Prediction,26-Jan-25
Telco-Customer-Churn-Analysis,https://github.com/M7mdAhmd/Telco-Customer-Churn-Analysis,26-Jan-25
customer-sentiment-analysis,https://github.com/M7mdAhmd/customer-sentiment-analysis,2-Nov-24
Portfolio,https://github.com/M7mdAhmd/Portfolio,22-Jun-24
